"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length"
23635,115,"COL",2022,23635,100,0.254,0.144,0.307,0.398,0.312,0.301,0.244,1408,5540,87.4,9.7,2251,88.9,89.26,2721,11431,12204,0.3999999999999915,6.34,109,154,119,148,305,325,298,"-10.6","10.6",,
23319,113,"CIN",2016,23319,100,0.256,0.152,0.303,0.408,0.311,0.301,0.246,1403,5487,86.5,11.3,2179,89.2,88.65,2498,11095,12073,-0.6000000000000085,6.05,109,149,110,145,292,311,288,"0.4","-0.4",,
22254,146,"MIA",2015,22254,100,0.26,0.124,0.307,0.384,0.302,0.301,0.251,1420,5463,88.1,6.1,2131,89,87.92,2205,10449,11684,-1.0999999999999943,5.87,109,148,107,146,291,308,291,"78.8","-78.8",,
22644,144,"ATL",2015,22644,100,0.251,0.108,0.297,0.359,0.296,0.3,0.247,1361,5420,86.7,8.2,2086,88.7,87.98,2168,10533,11974,-0.7000000000000028,5.97,110,149,109,146,291,311,293,"93.1","-93.1",,
23812,112,"CHC",2022,23812,100,0.238,0.148,0.294,0.387,0.307,0.3,0.231,1293,5425,87.8,10,2254,88.8,88.91,3073,11315,12497,0.10000000000000853,6.37,110,152,117,147,298,321,294,"51","-51",,
23099,108,"LAA",2022,23099,100,0.233,0.157,0.289,0.39,0.3,0.3,0.231,1265,5423,87.3,13,2222,88.8,88.72,3009,11058,12041,-0.09999999999999432,6.33,110,154,116,148,301,322,297,"73.8","-73.8",,
23533,113,"CIN",2015,23533,100,0.248,0.146,0.29,0.394,0.307,0.3,0.239,1382,5571,86.7,11.4,2124,89.1,88.8,2576,11340,12053,-0.29999999999999716,6.22,109,147,109,145,289,307,287,"63.3","-63.3",,
23576,135,"SD",2019,23576,100,0.238,0.172,0.293,0.41,0.305,0.299,0.228,1281,5391,88.6,10.7,2285,88.8,88.35,3027,10986,12585,-0.3999999999999915,5.98,110,152,115,148,302,324,299,"97.3","-97.3",,
23476,110,"BAL",2018,23476,100,0.239,0.152,0.286,0.391,0.299,0.299,0.234,1317,5507,88.2,11.7,2237,88.4,87.84,3069,11394,12079,-0.6000000000000085,5.98,109,153,114,147,294,318,290,"103.2","-103.2",,
8428,140,"TEX",2020,8428,100,0.217,0.147,0.266,0.364,0.283,0.299,0.226,420,1936,88,12,2262,88.2,87.99,1066,3864,4564,-0.20000000000000284,6.15,113,155,118,150,303,327,297,"65.9","-65.9",,
22993,134,"PIT",2021,22993,100,0.236,0.128,0.29,0.364,0.294,0.299,0.238,1261,5336,86.6,9.5,2234,88.5,88.54,2617,10771,12221,0,6.26,112,153,115,148,296,317,290,"107.2","-107.2",,
23187,146,"MIA",2022,23187,100,0.23,0.133,0.284,0.363,0.29,0.299,0.235,1241,5395,87.9,10.8,2248,89,89.03,3013,11214,11968,0,6.37,111,153,119,147,302,321,291,"96.3","-96.3",,
23703,114,"CLE",2022,23703,100,0.254,0.129,0.294,0.383,0.306,0.298,0.245,1410,5558,86.7,11.3,2266,88.9,88.85,2377,11315,12386,-0.10000000000000853,6.25,109,153,114,148,292,318,289,"31.4","-31.4",,
23435,139,"TB",2022,23435,100,0.239,0.138,0.295,0.377,0.302,0.298,0.236,1294,5412,88.5,11.1,2231,89,88.79,2990,11282,12152,-0.20000000000000284,6.3,110,155,116,149,297,325,295,"38.9","-38.9",,
23100,142,"MIN",2015,23100,100,0.247,0.152,0.292,0.399,0.305,0.298,0.236,1349,5467,87.9,11.6,2159,89.1,88.39,2512,10962,12029,-0.6999999999999886,5.97,108,148,107,145,290,308,287,"-10.2","10.2",,
23715,145,"CWS",2018,23715,100,0.241,0.16,0.304,0.401,0.304,0.298,0.232,1332,5523,88.1,11.5,2238,88.5,88.15,3256,11613,12095,-0.29999999999999716,6.06,109,150,110,146,292,318,292,"55.5","-55.5",,
23276,137,"SF",2017,23276,100,0.249,0.132,0.294,0.38,0.296,0.298,0.242,1382,5551,86.6,10.6,2218,88.6,88.07,2520,11150,12122,-0.5,6,110,150,110,147,294,317,294,"133.1","-133.1",,
8352,134,"PIT",2020,8352,100,0.22,0.137,0.268,0.357,0.279,0.298,0.235,425,1932,87.7,9.8,2300,88,88.27,1119,3954,4398,0.29999999999999716,6.37,111,154,118,149,299,320,292,"62.3","-62.3",,
